i              est            relError       timeMs         
1              22332          0.035          32.201         
2              23259          0.005          23.218         
3              24301          0.050          22.940         
4              23159          0.001          23.236         
5              22674          0.020          28.186         
6              22783          0.015          24.663         
7              23044          0.004          30.418         
8              23697          0.024          28.268         
9              23991          0.037          33.411         
10             22030          0.048          27.430         
11             21963          0.051          32.735         
12             22592          0.023          26.976         
13             22720          0.018          31.624         
14             22134          0.043          27.662         
15             23954          0.035          32.829         
16             23000          0.006          22.891         
17             21913          0.053          25.410         
18             24350          0.053          26.800         
19             22764          0.016          31.796         
20             22539          0.026          25.494         
21             23786          0.028          26.595         
22             22069          0.046          32.543         
23             23859          0.031          26.307         
24             22982          0.007          30.783         
25             23684          0.024          23.102         
26             23439          0.013          28.497         
27             23208          0.003          25.930         
28             22703          0.019          31.983         
29             22496          0.028          34.618         
30             23771          0.028          22.756         
31             22576          0.024          22.898         
32             22508          0.027          23.071         
33             22782          0.015          22.969         
34             23338          0.009          22.759         
35             24790          0.072          22.814         
36             23178          0.002          33.914         
37             24817          0.073          25.400         
38             23515          0.016          32.065         
39             22505          0.027          34.581         
40             23725          0.026          27.446         
41             22847          0.012          23.002         
42             23310          0.008          23.633         
43             23448          0.014          33.918         
44             22891          0.011          27.206         
45             25286          0.093          32.902         
46             24377          0.054          27.090         
47             22407          0.031          22.915         
48             24030          0.039          25.554         
49             22455          0.029          22.920         
50             23975          0.036          23.050         
51             23649          0.022          25.588         
52             23117          0.001          32.190         
53             22864          0.012          26.917         
54             21994          0.049          32.529         
55             22635          0.022          26.983         
56             22525          0.026          32.037         
57             24605          0.064          27.321         
58             22295          0.036          22.823         
59             21884          0.054          25.958         
60             22179          0.041          30.163         
61             23838          0.030          28.220         
62             22437          0.030          32.982         
63             22877          0.011          22.788         
64             23203          0.003          28.045         
65             22702          0.019          33.350         
66             23555          0.018          25.424         
67             22335          0.035          22.936         
68             22849          0.012          26.339         
69             22787          0.015          22.857         
70             25140          0.087          25.837         
71             23426          0.013          30.318         
72             22899          0.010          27.949         
73             21959          0.051          25.374         
74             23309          0.008          31.870         
75             22857          0.012          27.126         
76             22591          0.023          32.515         
77             23583          0.019          25.367         
78             23362          0.010          33.365         
79             23477          0.015          35.239         
80             22565          0.025          28.139         
81             23873          0.032          32.998         
82             23954          0.035          27.216         
83             23203          0.003          32.700         
84             22663          0.020          34.450         
85             24314          0.051          28.002         
86             22779          0.015          33.065         
87             23647          0.022          26.211         
88             23408          0.012          32.856         
89             22675          0.020          25.594         
90             21944          0.051          34.004         
91             21921          0.052          27.109         
92             24957          0.079          25.297         
93             22554          0.025          22.715         
94             24095          0.042          32.598         
95             23642          0.022          26.918         
96             22227          0.039          25.325         
97             23000          0.006          31.765         
98             24162          0.044          26.981         
99             23287          0.007          32.662         
100            22803          0.014          27.192         
101            22848          0.012          32.512         
102            23761          0.027          35.074         
103            24537          0.061          34.955         
104            22142          0.043          27.830         
105            24108          0.042          25.612         
106            23268          0.006          31.925         
107            23571          0.019          27.022         
108            22844          0.013          32.238         
109            22161          0.042          27.747         
110            22362          0.033          32.491         
111            24372          0.054          22.949         
112            22395          0.032          27.542         
113            23095          0.002          32.887         
114            23043          0.004          27.303         
