i              est            relError       timeMs         
1              3192           0.002          4.822          
2              3171           0.004          4.789          
3              3186           0.000          2.247          
4              3237           0.016          4.916          
5              3177           0.003          5.100          
6              3189           0.001          4.924          
7              3185           0.000          4.949          
8              3191           0.002          5.016          
9              3170           0.005          5.012          
10             3168           0.005          4.974          
11             3205           0.006          4.978          
12             3177           0.003          4.966          
13             3149           0.011          4.946          
14             3228           0.014          5.091          
15             3174           0.003          4.491          
16             3220           0.011          4.042          
17             3228           0.014          2.252          
18             3228           0.014          2.301          
19             3197           0.004          2.277          
20             3192           0.002          2.109          
21             3163           0.007          2.005          
22             3129           0.018          3.516          
23             3207           0.007          4.531          
24             3189           0.001          1.866          
25             3183           0.001          2.102          
26             3179           0.002          1.981          
27             3197           0.004          1.975          
28             3179           0.002          2.063          
29             3256           0.022          2.525          
30             3210           0.008          1.875          
31             3185           0.000          1.959          
32             3191           0.002          1.903          
33             3179           0.002          2.017          
34             3160           0.008          1.954          
35             3189           0.001          2.008          
36             3192           0.002          1.853          
37             3183           0.001          1.948          
38             3208           0.007          1.892          
39             3180           0.002          1.954          
40             3234           0.015          1.848          
41             3191           0.002          2.054          
42             3199           0.004          2.367          
43             3197           0.004          2.006          
44             3205           0.006          2.210          
45             3197           0.004          3.373          
46             3176           0.003          1.938          
47             3185           0.000          2.020          
48             3235           0.016          2.003          
49             3174           0.003          2.213          
50             3195           0.003          2.720          
51             3164           0.007          2.665          
52             3183           0.001          2.558          
53             3199           0.004          1.930          
54             3174           0.003          2.117          
55             3204           0.006          2.361          
56             3201           0.005          5.533          
57             3207           0.007          4.459          
58             3145           0.013          3.083          
59             3199           0.004          2.324          
60             3199           0.004          4.236          
61             3186           0.000          4.795          
62             3163           0.007          4.548          
63             3180           0.002          5.264          
64             3167           0.006          4.994          
65             3211           0.008          4.902          
66             3142           0.014          5.014          
67             3194           0.003          5.050          
68             3186           0.000          4.989          
69             3194           0.003          5.336          
70             3204           0.006          5.111          
71             3186           0.000          5.316          
72             3179           0.002          5.070          
73             3185           0.000          4.993          
74             3222           0.012          5.061          
75             3219           0.011          4.998          
76             3202           0.005          5.047          
77             3191           0.002          4.994          
78             3176           0.003          4.973          
79             3171           0.004          5.034          
80             3198           0.004          5.022          
81             3207           0.007          4.996          
82             3185           0.000          5.801          
83             3188           0.001          4.985          
84             3194           0.003          4.923          
85             3155           0.009          5.016          
86             3223           0.012          5.004          
87             3161           0.008          5.082          
88             3173           0.004          4.982          
89             3220           0.011          4.978          
90             3166           0.006          4.885          
91             3155           0.009          4.983          
92             3155           0.009          4.904          
93             3188           0.001          5.000          
94             3171           0.004          5.036          
95             3204           0.006          5.116          
96             3139           0.014          5.057          
97             3144           0.013          5.012          
98             3176           0.003          4.890          
99             3256           0.022          4.990          
100            3201           0.005          5.049          
101            3194           0.003          5.005          
102            3188           0.001          4.905          
103            3205           0.006          5.130          
104            3222           0.012          4.900          
105            3205           0.006          4.999          
106            3177           0.003          4.999          
107            3199           0.004          4.973          
108            3154           0.010          5.127          
109            3198           0.004          5.021          
110            3197           0.004          4.954          
111            3242           0.018          4.978          
112            3177           0.003          4.920          
113            3229           0.014          4.806          
114            3155           0.009          5.022          
115            3205           0.006          4.978          
116            3242           0.018          4.949          
117            3204           0.006          4.991          
118            3182           0.001          4.891          
119            3168           0.005          4.933          
120            3185           0.000          5.017          
121            3149           0.011          5.015          
122            3223           0.012          4.930          
123            3197           0.004          5.026          
124            3197           0.004          4.988          
125            3141           0.014          5.069          
126            3170           0.005          5.023          
127            3192           0.002          5.022          
128            3210           0.008          4.893          
129            3161           0.008          5.088          
130            3211           0.008          5.023          
131            3188           0.001          4.950          
132            3157           0.009          5.001          
133            3237           0.016          5.035          
134            3183           0.001          4.895          
135            3180           0.002          4.968          
136            3154           0.010          5.120          
137            3247           0.019          4.988          
138            3192           0.002          5.142          
139            3173           0.004          4.986          
140            3228           0.014          5.072          
141            3208           0.007          4.968          
142            3210           0.008          5.007          
143            3185           0.000          4.979          
144            3155           0.009          5.126          
145            3186           0.000          4.949          
146            3171           0.004          4.953          
147            3164           0.007          5.040          
148            3189           0.001          4.965          
149            3191           0.002          4.966          
150            3189           0.001          4.980          
151            3168           0.005          5.035          
152            3179           0.002          5.015          
153            3174           0.003          5.826          
154            3185           0.000          5.039          
155            3195           0.003          5.024          
156            3217           0.010          4.884          
157            3174           0.003          5.072          
158            3180           0.002          4.952          
159            3151           0.011          5.017          
160            3207           0.007          5.000          
161            3225           0.013          5.084          
162            3191           0.002          4.985          
163            3216           0.010          5.027          
164            3141           0.014          4.979          
165            3161           0.008          5.045          
166            3157           0.009          5.061          
167            3152           0.010          5.080          
168            3138           0.015          4.968          
169            3191           0.002          5.000          
170            3191           0.002          4.984          
171            3174           0.003          4.897          
172            3199           0.004          5.015          
173            3192           0.002          5.106          
174            3197           0.004          5.064          
175            3144           0.013          4.925          
176            3208           0.007          5.070          
177            3182           0.001          4.978          
178            3180           0.002          5.025          
179            3199           0.004          4.971          
180            3183           0.001          5.069          
181            3166           0.006          5.027          
182            3186           0.000          4.930          
183            3149           0.011          5.065          
184            3120           0.020          5.103          
185            3144           0.013          5.065          
186            3144           0.013          4.994          
187            3214           0.009          4.968          
188            3183           0.001          4.984          
189            3142           0.014          4.958          
190            3222           0.012          4.985          
191            3183           0.001          4.946          
192            3144           0.013          4.861          
193            3179           0.002          5.000          
194            3161           0.008          4.971          
195            3188           0.001          4.989          
196            3188           0.001          4.999          
197            3183           0.001          4.962          
198            3173           0.004          4.915          
199            3183           0.001          5.097          
200            3188           0.001          5.052          
