i              est            relError       timeMs         
1              3069           0.036          5.058          
2              3240           0.017          4.710          
3              3150           0.011          4.663          
4              3170           0.005          4.876          
5              3155           0.009          4.907          
6              3200           0.005          5.034          
7              3185           0.000          4.113          
8              3255           0.022          2.223          
9              3152           0.010          2.522          
10             3231           0.014          2.061          
11             3183           0.001          1.864          
12             3165           0.006          2.089          
13             3114           0.022          1.917          
14             3137           0.015          1.836          
15             3131           0.017          1.873          
16             3242           0.018          1.835          
17             3133           0.016          1.742          
18             3142           0.014          1.727          
19             3237           0.016          1.763          
20             3204           0.006          1.790          
21             3161           0.008          1.822          
22             3181           0.001          1.808          
23             3157           0.009          1.898          
24             3198           0.004          2.005          
25             3231           0.014          2.038          
26             3218           0.010          2.093          
27             3187           0.001          2.234          
28             3178           0.002          1.948          
29             3144           0.013          2.076          
30             3090           0.030          1.800          
31             3167           0.006          1.838          
32             3170           0.005          1.794          
33             3161           0.008          1.822          
34             3204           0.006          1.765          
35             3120           0.020          1.835          
36             3165           0.006          1.795          
37             3185           0.000          1.923          
38             3172           0.004          2.457          
39             3131           0.017          2.135          
40             3204           0.006          1.868          
41             3237           0.016          1.909          
42             3176           0.003          1.923          
43             3244           0.019          1.838          
44             3185           0.000          2.236          
45             3204           0.006          1.926          
46             3161           0.008          1.994          
47             3185           0.000          1.954          
48             3170           0.005          1.985          
49             3209           0.008          1.930          
50             3257           0.023          1.892          
51             3167           0.006          2.009          
52             3260           0.024          1.851          
53             3187           0.001          1.784          
54             3152           0.010          1.926          
55             3215           0.009          1.919          
56             3167           0.006          1.944          
57             3211           0.008          1.904          
58             3165           0.006          1.833          
59             3167           0.006          1.972          
60             3178           0.002          1.810          
61             3161           0.008          1.947          
62             3165           0.006          1.871          
63             3218           0.010          1.960          
64             3052           0.042          1.936          
65             3159           0.008          1.920          
66             3127           0.018          2.033          
67             3167           0.006          1.891          
68             3183           0.001          1.887          
69             3142           0.014          1.818          
70             3170           0.005          1.975          
71             3185           0.000          2.021          
72             3215           0.009          1.954          
73             3116           0.022          2.104          
74             3159           0.008          1.770          
75             3088           0.030          1.903          
76             3196           0.003          1.877          
77             3215           0.009          1.923          
78             3131           0.017          1.896          
79             3172           0.004          2.244          
80             3167           0.006          2.680          
81             3202           0.005          3.442          
82             3107           0.024          3.695          
83             3150           0.011          4.803          
84             3309           0.039          4.913          
85             3181           0.001          4.888          
86             3231           0.014          4.895          
87             3150           0.011          4.808          
88             3196           0.003          4.923          
89             3189           0.001          4.776          
90             3174           0.003          5.116          
91             3198           0.004          5.175          
92             3114           0.022          4.815          
93             3222           0.012          4.941          
94             3189           0.001          4.887          
95             3211           0.008          4.852          
96             3146           0.012          4.939          
97             3174           0.003          4.849          
98             3137           0.015          4.878          
99             3297           0.035          4.891          
100            3196           0.003          4.807          
101            3135           0.016          4.934          
102            3191           0.002          4.872          
103            3146           0.012          4.824          
104            3178           0.002          5.007          
105            3135           0.016          4.883          
106            3148           0.012          4.883          
107            3167           0.006          4.848          
108            3246           0.019          4.825          
109            3240           0.017          4.950          
110            3202           0.005          4.868          
111            3061           0.039          4.885          
112            3207           0.007          4.885          
113            3297           0.035          4.981          
114            3185           0.000          4.886          
115            3178           0.002          4.780          
116            3235           0.016          4.780          
117            3240           0.017          4.880          
118            3213           0.009          4.882          
119            3129           0.018          4.795          
120            3161           0.008          4.848          
121            3172           0.004          4.945          
122            3165           0.006          4.895          
123            3255           0.022          5.043          
124            3213           0.009          4.859          
125            3198           0.004          4.904          
126            3114           0.022          4.861          
127            3148           0.012          4.870          
128            3139           0.014          4.896          
129            3211           0.008          4.857          
130            3185           0.000          4.973          
131            3200           0.005          4.842          
132            3213           0.009          4.847          
133            3112           0.023          4.908          
134            3266           0.025          4.884          
135            3157           0.009          4.849          
136            3170           0.005          4.812          
137            3116           0.022          4.920          
138            3235           0.016          4.889          
139            3155           0.009          4.782          
140            3200           0.005          4.892          
141            3253           0.021          4.901          
142            3235           0.016          4.881          
143            3183           0.001          4.952          
144            3150           0.011          4.931          
145            3246           0.019          4.908          
146            3242           0.018          4.885          
147            3246           0.019          4.861          
148            3185           0.000          4.912          
149            3135           0.016          4.856          
150            3235           0.016          4.948          
151            3181           0.001          4.841          
152            3204           0.006          4.838          
153            3144           0.013          4.849          
154            3139           0.014          4.866          
155            3172           0.004          4.807          
156            3277           0.029          4.954          
157            3183           0.001          4.917          
158            3189           0.001          4.872          
159            3088           0.030          4.946          
160            3204           0.006          4.889          
161            3170           0.005          4.920          
162            3142           0.014          4.852          
163            3187           0.001          4.813          
164            3109           0.024          4.832          
165            3129           0.018          4.934          
166            3189           0.001          4.780          
167            3152           0.010          4.854          
168            3240           0.017          4.857          
169            3135           0.016          4.917          
170            3163           0.007          4.840          
171            3107           0.024          4.861          
172            3189           0.001          4.881          
173            3183           0.001          4.944          
174            3207           0.007          4.910          
175            3224           0.012          4.818          
176            3229           0.014          4.897          
177            3181           0.001          4.837          
178            3194           0.003          4.880          
179            3174           0.003          4.855          
180            3246           0.019          4.946          
181            3237           0.016          4.968          
182            3257           0.023          4.866          
183            3148           0.012          4.916          
184            3167           0.006          4.894          
185            3172           0.004          4.958          
186            3178           0.002          4.827          
187            3191           0.002          4.874          
188            3163           0.007          4.875          
189            3213           0.009          4.835          
190            3122           0.020          4.884          
191            3207           0.007          4.859          
192            3257           0.023          4.882          
193            3142           0.014          4.941          
194            3209           0.008          4.906          
195            3148           0.012          4.906          
196            3112           0.023          4.877          
197            3271           0.027          4.848          
198            3222           0.012          4.766          
199            3231           0.014          4.862          
200            3224           0.012          4.884          
