i              est            relError       timeMs         
103            2919           0.084          4.857          
104            3071           0.036          4.866          
105            3389           0.064          4.769          
106            3140           0.014          4.747          
107            3080           0.033          4.750          
108            3441           0.080          4.823          
109            3266           0.025          4.876          
110            3129           0.018          4.784          
111            3437           0.079          4.768          
112            3491           0.096          4.827          
113            3110           0.024          4.850          
114            3013           0.054          4.833          
115            3246           0.019          4.927          
116            3210           0.008          4.891          
117            3436           0.079          4.807          
118            3459           0.086          4.788          
119            2838           0.109          4.726          
120            3113           0.023          4.748          
121            3620           0.137          4.849          
122            2913           0.085          4.738          
123            3027           0.050          4.729          
124            3206           0.007          4.752          
125            3471           0.090          4.844          
126            3063           0.038          4.799          
127            3170           0.005          4.840          
128            3315           0.041          4.936          
129            3006           0.056          4.862          
130            3939           0.237          4.814          
131            3119           0.021          4.735          
132            3558           0.117          4.807          
133            3549           0.114          4.813          
134            2946           0.075          4.870          
135            3046           0.044          4.834          
136            2764           0.132          4.770          
137            2999           0.058          4.750          
138            3282           0.030          4.722          
139            3119           0.021          4.874          
140            3366           0.057          4.795          
141            3268           0.026          4.826          
142            3063           0.038          4.842          
143            3443           0.081          4.813          
144            3147           0.012          4.837          
145            3410           0.071          4.851          
146            2847           0.106          4.780          
147            3213           0.009          4.856          
148            3351           0.052          4.724          
149            3043           0.045          4.807          
150            2904           0.088          6.682          
151            3018           0.052          4.956          
152            2906           0.088          4.767          
153            3228           0.014          4.867          
154            3429           0.077          4.790          
155            3467           0.089          4.743          
156            3990           0.253          4.790          
157            3516           0.104          4.857          
158            3186           0.000          4.781          
159            3164           0.007          4.752          
160            3458           0.086          4.886          
161            2892           0.092          4.917          
162            3260           0.024          4.844          
163            2818           0.115          4.920          
164            2803           0.120          4.905          
165            3262           0.024          4.822          
166            2882           0.095          4.846          
167            3173           0.004          4.849          
168            2915           0.085          4.819          
169            3134           0.016          4.868          
170            3077           0.034          4.836          
171            3423           0.075          4.669          
172            3517           0.104          4.854          
173            3162           0.007          4.873          
174            3140           0.014          4.747          
175            3158           0.008          4.836          
176            3015           0.053          4.883          
177            2874           0.098          4.876          
178            2962           0.070          4.718          
179            3520           0.105          4.812          
180            3129           0.018          4.859          
181            3022           0.051          4.779          
182            2995           0.060          4.871          
183            3192           0.002          4.834          
184            2909           0.087          4.791          
185            2889           0.093          4.926          
186            2782           0.127          4.851          
187            2867           0.100          4.813          
188            3710           0.165          4.884          
189            4177           0.311          4.777          
190            3047           0.043          4.893          
191            2853           0.104          4.865          
192            3643           0.144          4.768          
193            3525           0.107          5.084          
194            2875           0.097          4.789          
195            3410           0.071          4.820          
196            3052           0.042          4.821          
197            3437           0.079          4.825          
198            2856           0.103          4.903          
199            3181           0.001          4.833          
200            3155           0.009          4.878          
