i              est            relError       timeMs         
1              3119           0.021          4.897          
2              3091           0.030          2.150          
3              3379           0.061          4.828          
4              3123           0.019          4.760          
5              3796           0.192          4.889          
6              3536           0.110          4.900          
7              3204           0.006          4.892          
8              2770           0.130          4.905          
9              3016           0.053          4.874          
10             3278           0.029          4.797          
11             3382           0.062          4.769          
12             3169           0.005          4.830          
13             2858           0.103          4.973          
14             3241           0.018          5.210          
15             3195           0.003          4.766          
16             3025           0.050          2.183          
17             3052           0.042          1.953          
18             3330           0.046          2.147          
19             2995           0.060          4.892          
20             3134           0.016          3.432          
21             3217           0.010          3.100          
22             3214           0.009          4.683          
23             3095           0.028          2.288          
24             3325           0.044          1.962          
25             3273           0.028          1.895          
26             3248           0.020          2.094          
27             3320           0.042          1.937          
28             3233           0.015          1.792          
29             3197           0.004          1.854          
30             3115           0.022          1.858          
31             3368           0.057          1.774          
32             3053           0.041          1.935          
33             2922           0.083          1.943          
34             3122           0.020          1.881          
35             3255           0.022          3.213          
36             3095           0.028          3.493          
37             3184           0.000          2.088          
38             3528           0.108          2.186          
39             3570           0.121          2.075          
40             3293           0.034          1.966          
41             3070           0.036          1.907          
42             3259           0.023          3.197          
43             3247           0.019          2.918          
44             3107           0.024          1.816          
45             2953           0.073          2.062          
46             3143           0.013          1.905          
47             3040           0.046          3.838          
48             3373           0.059          1.828          
49             3190           0.002          2.031          
50             2858           0.103          1.761          
51             2963           0.070          2.711          
52             2890           0.093          2.685          
53             3117           0.021          2.448          
54             3529           0.108          3.883          
55             3100           0.027          1.918          
56             2888           0.093          3.787          
57             3125           0.019          4.029          
58             3003           0.057          4.935          
59             3090           0.030          4.826          
60             3344           0.050          4.807          
61             3355           0.053          4.774          
62             3054           0.041          4.862          
63             3076           0.034          4.892          
64             2837           0.109          4.753          
65             3316           0.041          4.790          
66             3256           0.022          5.091          
67             3257           0.023          4.804          
68             2987           0.062          4.879          
69             3371           0.058          4.937          
70             3367           0.057          4.814          
71             3374           0.059          4.831          
72             3347           0.051          4.945          
73             3284           0.031          4.865          
74             2811           0.117          4.933          
75             3448           0.083          4.816          
76             3251           0.021          4.754          
77             2873           0.098          4.889          
78             3129           0.018          4.771          
79             3309           0.039          4.967          
80             3423           0.075          4.743          
81             3466           0.088          4.831          
82             3215           0.009          4.698          
83             3297           0.035          4.840          
84             3030           0.049          4.772          
85             3424           0.075          4.714          
86             2931           0.080          4.866          
87             3521           0.105          4.800          
88             3024           0.051          4.816          
89             2956           0.072          4.884          
90             3078           0.034          4.928          
91             3455           0.085          4.895          
92             3023           0.051          4.806          
93             3606           0.132          4.796          
94             2880           0.096          4.777          
95             3178           0.002          4.795          
96             2949           0.074          4.806          
97             3645           0.144          4.800          
98             3174           0.003          4.827          
99             3173           0.004          4.810          
100            2945           0.075          4.793          
101            3138           0.015          4.839          
102            3247           0.019          4.884          
