i              est            relError       timeMs         
1              3179           0.002          5.070          
2              3178           0.002          4.512          
3              3186           0.000          2.063          
4              3190           0.002          1.996          
5              3167           0.006          2.011          
6              3177           0.003          2.000          
7              3202           0.005          2.032          
8              3187           0.001          2.137          
9              3212           0.008          2.119          
10             3173           0.004          2.062          
11             3207           0.007          2.052          
12             3213           0.009          2.022          
13             3190           0.002          2.014          
14             3192           0.002          1.998          
15             3181           0.001          1.980          
16             3212           0.008          2.051          
17             3202           0.005          2.026          
18             3149           0.011          2.072          
19             3168           0.005          2.099          
20             3197           0.004          2.393          
21             3192           0.002          2.092          
22             3200           0.005          1.992          
23             3194           0.003          2.105          
24             3185           0.000          2.073          
25             3174           0.003          2.059          
26             3161           0.008          2.054          
27             3207           0.007          2.103          
28             3200           0.005          2.133          
29             3198           0.004          2.113          
30             3192           0.002          2.093          
31             3157           0.009          2.161          
32             3169           0.005          2.150          
33             3178           0.002          2.176          
34             3179           0.002          2.098          
35             3091           0.030          2.132          
36             3207           0.007          2.161          
37             3192           0.002          2.101          
38             3183           0.001          1.990          
39             3152           0.010          2.045          
40             3185           0.000          2.188          
41             3189           0.001          2.290          
42             3213           0.009          2.226          
43             3145           0.013          2.256          
44             3190           0.002          2.206          
45             3192           0.002          2.107          
46             3206           0.007          2.233          
47             3200           0.005          2.132          
48             3168           0.005          3.130          
49             3169           0.005          3.033          
50             3235           0.016          2.113          
51             3204           0.006          4.913          
52             3204           0.006          5.035          
53             3157           0.009          5.061          
54             3197           0.004          4.981          
55             3207           0.007          4.960          
56             3177           0.003          4.960          
57             3177           0.003          4.962          
58             3174           0.003          4.965          
59             3177           0.003          4.949          
60             3190           0.002          4.956          
61             3173           0.004          4.917          
62             3195           0.003          4.944          
63             3185           0.000          5.066          
64             3208           0.007          5.038          
65             3168           0.005          4.924          
66             3200           0.005          4.988          
67             3186           0.000          5.016          
68             3161           0.008          4.961          
69             3183           0.001          4.986          
70             3189           0.001          5.137          
71             3195           0.003          5.014          
72             3179           0.002          4.997          
73             3196           0.003          4.920          
74             3209           0.008          4.931          
75             3155           0.009          4.988          
76             3184           0.000          4.923          
77             3164           0.007          5.019          
78             3177           0.003          5.005          
79             3162           0.007          4.961          
80             3157           0.009          4.991          
81             3170           0.005          4.951          
82             3173           0.004          4.870          
83             3194           0.003          5.023          
84             3170           0.005          4.927          
85             3167           0.006          4.956          
86             3181           0.001          5.019          
87             3200           0.005          4.974          
88             3181           0.001          4.940          
89             3202           0.005          5.047          
90             3202           0.005          4.978          
91             3218           0.010          4.933          
