i              est            relError       timeMs         
1              3223           0.012          4.934          
2              3202           0.005          2.166          
3              3190           0.002          2.190          
4              3165           0.006          4.844          
5              3026           0.050          5.098          
6              3266           0.025          4.905          
7              3339           0.048          4.873          
8              3261           0.024          4.964          
9              3084           0.032          4.869          
10             3315           0.041          4.852          
11             3246           0.019          4.936          
12             3426           0.076          4.951          
13             3210           0.008          4.893          
14             3048           0.043          4.934          
15             3011           0.055          4.870          
16             3270           0.027          2.767          
17             3139           0.014          2.287          
18             3328           0.045          1.935          
19             3263           0.024          3.632          
20             3045           0.044          2.123          
21             3198           0.004          2.180          
22             3133           0.016          1.908          
23             3293           0.034          1.813          
24             3035           0.047          2.360          
25             3154           0.010          2.388          
26             3246           0.019          2.031          
27             3403           0.068          2.118          
28             3250           0.020          2.080          
29             3146           0.012          2.939          
30             3225           0.013          3.215          
31             3386           0.063          1.913          
32             3215           0.009          1.894          
33             3157           0.009          1.926          
34             3165           0.006          1.947          
35             2999           0.058          2.555          
36             2979           0.065          2.562          
37             3044           0.044          2.276          
38             3295           0.035          2.512          
39             3420           0.074          2.449          
40             3124           0.019          2.037          
41             3367           0.057          2.032          
42             3021           0.051          5.518          
43             3428           0.076          2.072          
44             3228           0.014          1.972          
45             3281           0.030          2.037          
46             3066           0.037          2.187          
47             3146           0.012          2.178          
48             3251           0.021          2.061          
49             3082           0.032          3.785          
50             2907           0.087          2.330          
51             3455           0.085          1.823          
52             3277           0.029          2.037          
53             3061           0.039          2.103          
54             3088           0.030          1.958          
55             3181           0.001          2.055          
56             3306           0.038          4.585          
57             3138           0.015          1.984          
58             3054           0.041          3.602          
59             3339           0.048          2.072          
60             3357           0.054          5.016          
61             3492           0.096          4.659          
62             3206           0.007          4.864          
63             3130           0.017          4.931          
64             3100           0.027          4.902          
65             3282           0.030          4.788          
66             3072           0.035          4.980          
67             3257           0.023          4.920          
68             3085           0.031          4.813          
69             3333           0.046          4.981          
70             3084           0.032          4.871          
71             3389           0.064          4.837          
72             3135           0.016          4.814          
73             3066           0.037          4.817          
74             3081           0.033          4.898          
75             3320           0.042          4.865          
76             3003           0.057          4.894          
77             3181           0.001          5.010          
78             3190           0.002          4.792          
79             3328           0.045          4.864          
80             3144           0.013          4.811          
81             2948           0.074          4.891          
82             3328           0.045          5.007          
83             3024           0.051          4.863          
84             2977           0.065          4.872          
85             3148           0.012          4.875          
86             3223           0.012          4.977          
87             3275           0.028          4.926          
88             3094           0.029          4.888          
89             3009           0.055          4.759          
90             3161           0.008          4.938          
91             3016           0.053          4.900          
92             3221           0.011          4.841          
93             3332           0.046          4.851          
94             2941           0.077          4.835          
95             3063           0.038          4.795          
96             3374           0.059          4.876          
97             2866           0.100          4.874          
98             3192           0.002          4.878          
99             3226           0.013          4.863          
100            3282           0.030          4.935          
101            3315           0.041          4.978          
102            3061           0.039          4.884          
103            3570           0.121          4.838          
104            2987           0.062          4.870          
105            3184           0.000          4.832          
106            3115           0.022          4.793          
107            3229           0.014          4.910          
108            3203           0.006          4.848          
109            2948           0.074          4.947          
110            3276           0.029          4.956          
111            3501           0.099          4.921          
112            3146           0.012          4.916          
113            3340           0.049          4.810          
114            3081           0.033          4.923          
115            3040           0.046          4.881          
116            3108           0.024          4.857          
117            3058           0.040          4.873          
118            3131           0.017          4.819          
119            3258           0.023          5.042          
120            3015           0.053          4.887          
121            3234           0.015          4.866          
122            3010           0.055          4.819          
123            3077           0.034          4.874          
124            3137           0.015          4.864          
125            3099           0.027          4.914          
126            3269           0.026          5.085          
127            3272           0.027          4.852          
128            3132           0.017          4.958          
129            3291           0.033          4.961          
130            3352           0.052          4.893          
131            2968           0.068          4.850          
132            3377           0.060          4.814          
133            3086           0.031          4.889          
134            3241           0.018          4.829          
135            3048           0.043          4.751          
136            3112           0.023          4.842          
137            3266           0.025          4.897          
138            3339           0.048          4.920          
139            3218           0.010          4.872          
140            3034           0.047          4.853          
141            3327           0.045          4.955          
142            3040           0.046          4.832          
143            3310           0.039          4.865          
144            3139           0.014          4.856          
145            3278           0.029          4.980          
146            3252           0.021          4.883          
147            3111           0.023          4.857          
148            3385           0.063          4.804          
149            3107           0.024          4.924          
150            2955           0.072          4.891          
151            3305           0.038          4.891          
152            3333           0.046          4.860          
153            3160           0.008          4.814          
