i              est            relError       timeMs         
92             2704           0.151          4.823          
93             3447           0.082          4.802          
94             3896           0.223          4.817          
95             3095           0.028          4.861          
96             3500           0.099          4.812          
97             2814           0.116          6.005          
98             3268           0.026          4.856          
99             2797           0.122          4.865          
100            3570           0.121          4.772          
101            2768           0.131          4.786          
102            2958           0.071          4.816          
103            2772           0.130          4.800          
104            3225           0.013          4.730          
105            3556           0.116          4.829          
106            2805           0.119          4.772          
107            3422           0.074          4.883          
108            3648           0.145          4.798          
109            3616           0.135          4.850          
110            3401           0.068          4.928          
111            3223           0.012          5.072          
112            3704           0.163          4.776          
113            3372           0.059          4.744          
114            2661           0.165          4.761          
115            3254           0.022          4.808          
116            3145           0.013          5.023          
117            2765           0.132          4.763          
118            3621           0.137          4.833          
119            3111           0.023          4.827          
120            3566           0.120          4.860          
121            3704           0.163          4.783          
122            2414           0.242          4.920          
123            2604           0.182          4.844          
124            3433           0.078          5.029          
125            3192           0.002          4.902          
126            2725           0.144          4.753          
127            2585           0.188          4.776          
128            2703           0.151          4.834          
129            2303           0.277          4.860          
130            3367           0.057          4.856          
131            3235           0.016          4.873          
132            2620           0.177          4.884          
133            2689           0.156          4.859          
134            3094           0.029          4.813          
135            2795           0.122          4.782          
136            3684           0.157          4.878          
137            2752           0.136          4.805          
138            3350           0.052          4.761          
139            3248           0.020          4.884          
140            3455           0.085          4.779          
141            2629           0.175          4.732          
142            2556           0.197          4.718          
143            3394           0.066          4.918          
144            3219           0.011          4.877          
145            2946           0.075          4.839          
146            2777           0.128          4.942          
147            3037           0.046          4.862          
148            3524           0.106          4.918          
149            2865           0.100          4.890          
150            3675           0.154          4.804          
151            2580           0.190          4.778          
152            3205           0.006          4.895          
153            2855           0.104          4.820          
154            3737           0.173          4.755          
155            3648           0.145          4.783          
156            3175           0.003          4.902          
157            2757           0.134          4.817          
158            3265           0.025          4.721          
159            2198           0.310          4.900          
160            2920           0.083          4.782          
161            2947           0.075          4.842          
162            3237           0.016          4.857          
163            3010           0.055          4.732          
164            3126           0.019          4.816          
165            3456           0.085          4.888          
166            3467           0.089          4.871          
167            3764           0.182          4.774          
168            3341           0.049          4.753          
169            3363           0.056          4.884          
170            2549           0.200          4.863          
171            3441           0.080          4.979          
172            3178           0.002          4.864          
173            2729           0.143          4.797          
174            3180           0.002          4.865          
175            3919           0.230          4.810          
176            3207           0.007          4.778          
177            3797           0.192          4.848          
178            2895           0.091          4.966          
179            2753           0.136          4.780          
180            4015           0.261          4.710          
181            3589           0.127          4.765          
182            2757           0.134          4.876          
183            3208           0.007          4.882          
184            3224           0.012          4.766          
185            3028           0.049          4.935          
186            2896           0.091          4.778          
187            3360           0.055          4.854          
188            3497           0.098          4.795          
189            3202           0.005          4.902          
190            3153           0.010          4.794          
191            3573           0.122          4.924          
192            2995           0.060          4.812          
193            2846           0.106          4.819          
194            2912           0.086          4.773          
195            3555           0.116          4.865          
196            2866           0.100          4.842          
197            2774           0.129          4.767          
198            2919           0.084          4.966          
199            3683           0.156          4.787          
200            3448           0.083          4.830          
