i              est            relError       timeMs         
1              2838           0.109          4.836          
2              3306           0.038          2.143          
3              3426           0.076          4.762          
4              2765           0.132          4.822          
5              3019           0.052          4.938          
6              3362           0.056          4.944          
7              3100           0.027          4.856          
8              3121           0.020          4.829          
9              3595           0.129          4.793          
10             3027           0.050          4.783          
11             3242           0.018          4.848          
12             2932           0.079          4.790          
13             2901           0.089          4.791          
14             3370           0.058          4.844          
15             2996           0.059          4.802          
16             2834           0.110          4.858          
17             3065           0.038          4.953          
18             3741           0.175          1.951          
19             3855           0.210          2.394          
20             3060           0.039          4.434          
21             3528           0.108          3.073          
22             2507           0.213          3.689          
23             3303           0.037          2.176          
24             2793           0.123          2.115          
25             3049           0.043          3.579          
26             3630           0.140          2.980          
27             2878           0.096          2.130          
28             4507           0.415          2.098          
29             3430           0.077          5.731          
30             2950           0.074          3.001          
31             3353           0.053          3.532          
32             3375           0.060          1.974          
33             4082           0.282          2.182          
34             3355           0.053          1.909          
35             2753           0.136          1.836          
36             3863           0.213          1.778          
37             2815           0.116          2.049          
38             3391           0.065          1.836          
39             2754           0.135          2.414          
40             2963           0.070          4.710          
41             3469           0.089          1.996          
42             3508           0.101          2.089          
43             3467           0.089          2.050          
44             3313           0.040          1.834          
45             3219           0.011          1.921          
46             3219           0.011          1.848          
47             2930           0.080          1.958          
48             3181           0.001          1.797          
49             2505           0.214          1.872          
50             3243           0.018          1.816          
51             2877           0.097          1.899          
52             4550           0.429          2.648          
53             3121           0.020          3.507          
54             3431           0.077          1.870          
55             2699           0.153          4.644          
56             3377           0.060          3.639          
57             3470           0.089          4.528          
58             2546           0.201          4.851          
59             3546           0.113          4.712          
60             2889           0.093          4.814          
61             3707           0.164          4.807          
62             3755           0.179          4.918          
63             2652           0.167          4.736          
64             3471           0.090          4.785          
65             4081           0.281          4.831          
66             3287           0.032          4.862          
67             3426           0.076          4.892          
68             3123           0.019          4.787          
69             2885           0.094          4.849          
70             3792           0.191          4.833          
71             4402           0.382          4.721          
72             2846           0.106          4.834          
73             3118           0.021          4.890          
74             2533           0.205          5.244          
75             2827           0.112          4.764          
76             3517           0.104          4.742          
77             3251           0.021          4.838          
78             3434           0.078          4.996          
79             2518           0.209          4.850          
80             3126           0.019          4.773          
81             3374           0.059          4.761          
82             2636           0.172          4.810          
83             3229           0.014          4.847          
84             3367           0.057          4.784          
85             3352           0.052          4.822          
86             2612           0.180          4.775          
87             3360           0.055          4.893          
88             2688           0.156          5.696          
89             3419           0.073          4.757          
90             3050           0.042          4.815          
91             2849           0.105          4.878          
