i              est            relError       timeMs         
1              3301           0.036          5.062          
2              2683           0.158          4.729          
3              3223           0.012          4.777          
4              3327           0.045          4.900          
5              2920           0.083          4.961          
6              2706           0.150          4.999          
7              3365           0.057          4.922          
8              2887           0.094          4.838          
9              3551           0.115          5.004          
10             3374           0.059          4.948          
11             3302           0.037          4.863          
12             3097           0.028          4.862          
13             3262           0.024          5.068          
14             2967           0.068          4.877          
15             3254           0.022          2.491          
16             2911           0.086          3.593          
17             3276           0.029          3.814          
18             3867           0.214          2.161          
19             3277           0.029          2.001          
20             3233           0.015          2.024          
21             2461           0.227          1.852          
22             2951           0.073          3.161          
23             3942           0.238          2.088          
24             3639           0.143          3.531          
25             3616           0.135          3.341          
26             2458           0.228          3.429          
27             2956           0.072          4.843          
28             3168           0.005          5.023          
29             3774           0.185          4.627          
30             3581           0.124          4.861          
31             3387           0.063          4.999          
32             3082           0.032          2.978          
33             3144           0.013          1.918          
34             3131           0.017          3.219          
35             3511           0.102          4.418          
36             3547           0.114          2.096          
37             3393           0.065          3.663          
38             3065           0.038          2.377          
39             3339           0.048          1.868          
40             3298           0.035          2.994          
41             2819           0.115          1.922          
42             3096           0.028          4.119          
43             3037           0.046          2.512          
44             2714           0.148          1.988          
45             2922           0.083          3.627          
46             3380           0.061          3.716          
47             3708           0.164          4.718          
48             3104           0.025          4.941          
49             2944           0.076          4.990          
50             3681           0.156          4.904          
51             3123           0.019          4.874          
52             3021           0.051          4.940          
53             3487           0.095          6.647          
54             3576           0.123          4.830          
55             3233           0.015          4.872          
56             2969           0.068          4.830          
57             2809           0.118          5.157          
58             3125           0.019          4.925          
59             3130           0.017          4.994          
60             3060           0.039          4.811          
61             3367           0.057          4.947          
62             3213           0.009          4.969          
63             3218           0.010          5.010          
64             2785           0.126          4.979          
65             2987           0.062          4.939          
66             3366           0.057          4.862          
67             3044           0.044          4.869          
68             3278           0.029          4.854          
69             3434           0.078          4.811          
70             3128           0.018          5.035          
71             3294           0.034          4.902          
72             3131           0.017          4.849          
73             2712           0.149          4.870          
74             3383           0.062          4.914          
75             3397           0.067          4.912          
76             3032           0.048          4.924          
77             3361           0.055          4.917          
78             3037           0.046          4.929          
79             3201           0.005          4.951          
80             3173           0.004          4.910          
81             3397           0.067          4.912          
82             2723           0.145          4.896          
83             3420           0.074          4.930          
84             3103           0.026          4.834          
85             3399           0.067          4.938          
86             3264           0.025          4.825          
87             2924           0.082          4.909          
88             3106           0.025          5.013          
89             3123           0.019          4.876          
90             3112           0.023          4.967          
91             2732           0.142          4.831          
92             3154           0.010          4.869          
93             3333           0.046          4.893          
94             3090           0.030          4.892          
95             2973           0.067          4.896          
96             3559           0.117          4.835          
97             3106           0.025          4.977          
98             3163           0.007          4.797          
99             3058           0.040          4.895          
100            2934           0.079          4.889          
101            2878           0.096          4.931          
102            2757           0.134          4.957          
103            2931           0.080          4.838          
104            2841           0.108          4.856          
105            3286           0.032          4.980          
106            3014           0.054          4.905          
107            3407           0.070          4.873          
108            3131           0.017          4.841          
109            2996           0.059          4.891          
110            3074           0.035          4.945          
111            3264           0.025          4.818          
112            2866           0.100          4.835          
113            3042           0.045          4.948          
114            3162           0.007          4.872          
115            3129           0.018          4.880          
116            3623           0.138          4.884          
117            3250           0.020          4.939          
118            3660           0.149          4.840          
119            3119           0.021          4.929          
120            2829           0.112          4.858          
121            3121           0.020          4.885          
122            3043           0.045          4.856          
123            3050           0.042          4.920          
124            3174           0.003          4.871          
125            3050           0.042          4.863          
126            3343           0.050          4.843          
127            3118           0.021          4.870          
128            3335           0.047          4.861          
129            3628           0.139          4.881          
130            3455           0.085          4.866          
131            3383           0.062          4.933          
132            3001           0.058          4.871          
133            3015           0.053          4.831          
134            2668           0.162          4.915          
135            3423           0.075          4.887          
136            3494           0.097          4.835          
137            3751           0.178          4.935          
