i              est            relError       timeMs         
1              3163           0.007          4.889          
2              3049           0.043          4.719          
3              3144           0.013          2.165          
4              3279           0.030          4.913          
5              3254           0.022          4.944          
6              3191           0.002          4.947          
7              3210           0.008          4.928          
8              3230           0.014          4.947          
9              3144           0.013          4.956          
10             3126           0.019          5.013          
11             3089           0.030          4.953          
12             3254           0.022          4.973          
13             3126           0.019          4.834          
14             3182           0.001          4.928          
15             3239           0.017          5.168          
16             3294           0.034          5.040          
17             3284           0.031          4.917          
18             3130           0.017          4.943          
19             3206           0.007          4.987          
20             3158           0.008          4.968          
21             3196           0.003          4.972          
22             3344           0.050          4.958          
23             3284           0.031          4.903          
24             3259           0.023          4.985          
25             3135           0.016          4.995          
26             3172           0.004          4.946          
27             3284           0.031          4.866          
28             3239           0.017          4.830          
29             3172           0.004          4.986          
30             3154           0.010          4.868          
31             3168           0.005          4.950          
32             3149           0.011          4.961          
33             3215           0.009          4.987          
34             3187           0.001          4.938          
35             3130           0.017          4.980          
36             3191           0.002          5.018          
37             3103           0.026          4.901          
38             3163           0.007          5.132          
39             3144           0.013          5.012          
40             3135           0.016          4.972          
41             3225           0.013          4.946          
42             3135           0.016          4.865          
43             3158           0.008          4.927          
44             3191           0.002          4.849          
45             3269           0.026          4.944          
46             3196           0.003          4.920          
47             3126           0.019          4.842          
48             3135           0.016          4.941          
49             3049           0.043          4.841          
50             3158           0.008          4.968          
51             3103           0.026          5.177          
52             3289           0.033          4.953          
53             3201           0.005          4.878          
54             3172           0.004          4.839          
55             3294           0.034          5.176          
56             3206           0.007          5.002          
57             3220           0.011          4.876          
58             3098           0.027          4.959          
59             3196           0.003          4.884          
60             3187           0.001          4.953          
61             3225           0.013          4.916          
62             3103           0.026          4.912          
63             3284           0.031          4.984          
64             3135           0.016          5.137          
65             3191           0.002          4.876          
66             3244           0.019          4.923          
67             3163           0.007          4.890          
68             3158           0.008          4.922          
69             3049           0.043          4.886          
70             3279           0.030          4.991          
71             3344           0.050          4.954          
72             3103           0.026          4.989          
73             3163           0.007          4.885          
74             3206           0.007          5.011          
75             3304           0.037          4.903          
76             3154           0.010          4.863          
77             3140           0.014          4.885          
78             3098           0.027          4.911          
79             3023           0.051          4.881          
80             3135           0.016          4.854          
81             3172           0.004          4.984          
82             3274           0.028          4.895          
83             3158           0.008          4.900          
84             3254           0.022          4.968          
85             3172           0.004          4.833          
86             3264           0.025          4.891          
87             3149           0.011          4.988          
88             3289           0.033          4.893          
89             3220           0.011          5.072          
90             3254           0.022          4.959          
91             3168           0.005          4.972          
92             3130           0.017          4.965          
93             3299           0.036          4.969          
94             3274           0.028          4.960          
95             3154           0.010          4.867          
96             3269           0.026          4.910          
97             3130           0.017          4.896          
98             3045           0.044          4.934          
99             3163           0.007          4.833          
100            3196           0.003          4.911          
101            3334           0.047          4.955          
102            3154           0.010          4.861          
103            3149           0.011          4.886          
104            3177           0.003          4.949          
105            3108           0.024          4.878          
106            3244           0.019          4.895          
107            3360           0.055          4.867          
108            3329           0.045          4.940          
109            3076           0.034          4.889          
110            3254           0.022          4.917          
111            3274           0.028          4.875          
112            3254           0.022          4.957          
113            3264           0.025          4.965          
114            3235           0.016          4.949          
115            3182           0.001          4.920          
116            3112           0.023          4.943          
117            3249           0.020          5.091          
118            3135           0.016          4.971          
119            3196           0.003          4.899          
120            3149           0.011          4.841          
121            3085           0.031          4.872          
122            3235           0.016          4.871          
123            3158           0.008          4.940          
124            3304           0.037          4.869          
125            3220           0.011          5.060          
126            3230           0.014          4.879          
127            3201           0.005          4.915          
128            3259           0.023          4.942          
129            3062           0.039          4.909          
130            3154           0.010          4.998          
131            3230           0.014          4.986          
132            3279           0.030          4.960          
133            3215           0.009          4.911          
134            3299           0.036          4.985          
135            3158           0.008          4.933          
136            3108           0.024          4.953          
137            3329           0.045          5.032          
138            3206           0.007          4.884          
139            3135           0.016          4.903          
140            3117           0.021          5.020          
141            3149           0.011          4.947          
142            3103           0.026          4.896          
143            3103           0.026          4.970          
144            3274           0.028          4.873          
145            3117           0.021          4.931          
146            3196           0.003          4.973          
147            3191           0.002          5.085          
148            3386           0.063          5.023          
149            3294           0.034          4.897          
150            3182           0.001          4.909          
151            3168           0.005          4.932          
152            3130           0.017          4.979          
153            3158           0.008          4.876          
154            3144           0.013          4.967          
155            3230           0.014          4.935          
156            3220           0.011          4.859          
157            3080           0.033          4.907          
158            3163           0.007          4.978          
159            3126           0.019          4.877          
160            3126           0.019          4.906          
161            3158           0.008          4.916          
162            3076           0.034          4.870          
163            3144           0.013          4.795          
164            3269           0.026          4.871          
165            3196           0.003          5.054          
166            3206           0.007          5.075          
167            3140           0.014          4.941          
168            3108           0.024          4.890          
169            3206           0.007          4.903          
170            3254           0.022          5.004          
171            3144           0.013          4.957          
172            3182           0.001          4.925          
173            3206           0.007          4.984          
174            3206           0.007          4.944          
175            3239           0.017          4.879          
176            3196           0.003          5.683          
177            3054           0.041          4.978          
178            3154           0.010          4.887          
179            3154           0.010          4.922          
180            3187           0.001          4.936          
181            3220           0.011          4.939          
182            3314           0.041          4.851          
183            3279           0.030          5.087          
184            3309           0.039          4.872          
185            3031           0.048          4.896          
186            3177           0.003          4.857          
187            3191           0.002          3.905          
188            3067           0.037          3.595          
189            3163           0.007          2.234          
190            3182           0.001          4.938          
191            3206           0.007          4.869          
192            3172           0.004          4.985          
193            3121           0.020          4.919          
194            3058           0.040          4.955          
195            3130           0.017          5.022          
196            3279           0.030          4.937          
197            3108           0.024          4.885          
198            3117           0.021          4.937          
199            3098           0.027          4.943          
200            3080           0.033          4.891          
