i              est            relError       timeMs         
1              3156           0.009          4.831          
2              3277           0.029          2.228          
3              3106           0.025          4.853          
4              3231           0.014          4.810          
5              3140           0.014          4.755          
6              3137           0.015          4.764          
7              3395           0.066          4.939          
8              3359           0.055          4.755          
9              3211           0.008          4.850          
10             3143           0.013          4.963          
11             3257           0.023          4.890          
12             3217           0.010          4.833          
13             3234           0.015          4.837          
14             3126           0.019          4.863          
15             3321           0.043          4.904          
16             3123           0.019          4.834          
17             3173           0.004          4.712          
18             3125           0.019          4.744          
19             3282           0.030          4.772          
20             3273           0.028          4.870          
21             3208           0.007          4.793          
22             3197           0.004          4.825          
23             3144           0.013          4.787          
24             3244           0.019          4.853          
25             3265           0.025          4.788          
26             3240           0.017          4.813          
27             3134           0.016          4.835          
28             3171           0.004          4.784          
29             3185           0.000          4.838          
30             3142           0.014          4.746          
31             3109           0.024          4.738          
32             3207           0.007          4.824          
33             3197           0.004          4.725          
34             3251           0.021          4.750          
35             3145           0.013          4.817          
36             3209           0.008          4.742          
37             3165           0.006          4.867          
38             3165           0.006          4.839          
39             3249           0.020          4.911          
40             3158           0.008          4.863          
41             3409           0.070          4.847          
42             3212           0.008          4.799          
43             3147           0.012          4.896          
44             3296           0.035          5.008          
45             3333           0.046          4.846          
46             3157           0.009          4.809          
47             3212           0.008          2.063          
48             3178           0.002          1.731          
49             3308           0.039          1.710          
50             3190           0.002          1.894          
51             3386           0.063          1.812          
52             3054           0.041          1.750          
53             3247           0.019          1.761          
54             3291           0.033          1.771          
55             3246           0.019          2.007          
56             3211           0.008          1.974          
57             3361           0.055          4.014          
58             3248           0.020          3.605          
59             3131           0.017          4.731          
60             3186           0.000          4.846          
61             3208           0.007          4.663          
62             3295           0.035          4.702          
63             3301           0.036          4.703          
64             3268           0.026          4.776          
65             3319           0.042          4.753          
66             3195           0.003          4.848          
67             3155           0.009          4.797          
68             3260           0.024          5.019          
69             3222           0.012          4.809          
70             3267           0.026          4.860          
71             3157           0.009          4.874          
72             3321           0.043          4.795          
73             3272           0.027          4.825          
74             3243           0.018          4.776          
75             3214           0.009          4.839          
76             3397           0.067          4.741          
77             3178           0.002          4.772          
78             3292           0.034          4.922          
79             3091           0.030          4.731          
80             3283           0.031          4.785          
81             3349           0.051          4.793          
82             3115           0.022          4.823          
83             3185           0.000          4.814          
84             3157           0.009          4.843          
85             3245           0.019          4.962          
86             3105           0.025          4.956          
87             3236           0.016          5.070          
88             3316           0.041          4.839          
89             3195           0.003          4.787          
90             3112           0.023          4.814          
91             3174           0.003          4.983          
92             3284           0.031          4.773          
93             3298           0.035          4.752          
94             3140           0.014          4.723          
95             3193           0.003          4.911          
96             3302           0.037          4.809          
97             3245           0.019          4.794          
98             3176           0.003          4.746          
99             3097           0.028          4.734          
100            3125           0.019          4.844          
101            3223           0.012          4.870          
102            3308           0.039          4.731          
103            3339           0.048          4.740          
104            3253           0.021          4.689          
105            3206           0.007          4.821          
106            3087           0.031          4.703          
107            3181           0.001          4.769          
108            3217           0.010          4.783          
109            3123           0.019          4.760          
110            3240           0.017          4.756          
111            3244           0.019          4.784          
112            3374           0.059          4.770          
113            3143           0.013          4.808          
114            3198           0.004          4.876          
115            3491           0.096          4.750          
116            3050           0.042          4.827          
117            3083           0.032          4.793          
118            3236           0.016          4.728          
119            3225           0.013          4.827          
120            3164           0.007          4.772          
121            3285           0.031          4.787          
122            3207           0.007          4.842          
123            3234           0.015          4.797          
124            3180           0.002          4.766          
125            3107           0.024          4.881          
126            3099           0.027          4.834          
127            3167           0.006          4.828          
128            3344           0.050          4.745          
129            3149           0.011          4.755          
130            3124           0.019          4.770          
131            3112           0.023          4.738          
132            3181           0.001          4.746          
133            3170           0.005          4.778          
134            3242           0.018          4.805          
135            3159           0.008          4.777          
136            3173           0.004          4.935          
137            3214           0.009          4.893          
138            3251           0.021          4.504          
139            3173           0.004          1.854          
140            3123           0.019          1.836          
141            3214           0.009          1.844          
142            3254           0.022          1.955          
143            3119           0.021          1.823          
144            3201           0.005          1.777          
145            3337           0.048          1.831          
146            3117           0.021          1.768          
147            3049           0.043          2.200          
148            3161           0.008          1.837          
149            3348           0.051          1.739          
150            3284           0.031          1.911          
151            3387           0.063          1.855          
152            3172           0.004          1.851          
153            3216           0.010          1.767          
154            3373           0.059          1.765          
155            3249           0.020          1.750          
156            3298           0.035          1.785          
157            3263           0.024          1.868          
158            3282           0.030          1.814          
159            3088           0.030          1.755          
160            3206           0.007          1.815          
161            3357           0.054          1.778          
162            3239           0.017          1.779          
163            3187           0.001          1.738          
164            3201           0.005          1.791          
165            3198           0.004          1.837          
166            3300           0.036          1.811          
167            3301           0.036          1.841          
168            3223           0.012          1.859          
169            3058           0.040          1.828          
170            3222           0.012          1.791          
171            3075           0.035          1.744          
172            3159           0.008          1.767          
