i              est            relError       timeMs         
1              3876           0.217          4.904          
2              3736           0.173          2.272          
3              2670           0.162          4.672          
4              2687           0.156          4.006          
5              3723           0.169          4.898          
6              3718           0.167          4.899          
7              3595           0.129          4.870          
8              2932           0.079          4.938          
9              3857           0.211          4.954          
10             3006           0.056          4.997          
11             3029           0.049          4.949          
12             3004           0.057          4.899          
13             3657           0.148          4.849          
14             3363           0.056          4.876          
15             2497           0.216          4.890          
16             4283           0.345          4.831          
17             4073           0.279          4.851          
18             3018           0.052          4.961          
19             3814           0.197          4.898          
20             3559           0.117          4.825          
21             3640           0.143          4.850          
22             4289           0.347          4.794          
23             2297           0.279          4.891          
24             2764           0.132          4.936          
25             3354           0.053          4.872          
26             3617           0.136          5.098          
27             4009           0.259          4.875          
28             3318           0.042          4.901          
29             2908           0.087          4.830          
30             2967           0.068          4.991          
31             3010           0.055          4.825          
32             3310           0.039          4.896          
33             2936           0.078          4.914          
34             2217           0.304          4.916          
35             3305           0.038          4.925          
36             2835           0.110          4.963          
37             2877           0.097          4.914          
38             3419           0.073          4.925          
39             3109           0.024          4.901          
40             2603           0.183          4.924          
41             2863           0.101          4.976          
42             3321           0.043          4.901          
43             3748           0.177          4.869          
44             3155           0.009          4.945          
45             2254           0.292          4.918          
46             3617           0.136          4.888          
47             2897           0.090          4.857          
48             2578           0.191          4.932          
49             3425           0.075          4.857          
50             3403           0.068          4.888          
51             3584           0.125          4.908          
52             3406           0.069          4.857          
53             3852           0.209          4.823          
54             3126           0.019          4.803          
55             4546           0.427          4.906          
56             3126           0.019          4.939          
57             2694           0.154          4.925          
58             2835           0.110          4.825          
59             2438           0.235          4.867          
60             2750           0.137          4.904          
61             3399           0.067          4.880          
62             3241           0.018          4.903          
63             3653           0.147          4.825          
64             3163           0.007          4.930          
65             2932           0.079          4.897          
66             3459           0.086          4.935          
67             2540           0.203          4.829          
68             3606           0.132          4.903          
69             3534           0.110          4.905          
70             2907           0.087          4.855          
71             3067           0.037          4.894          
72             4326           0.358          4.949          
73             3007           0.056          4.778          
74             2442           0.233          4.858          
75             2655           0.166          4.864          
76             3318           0.042          4.890          
77             3805           0.195          4.854          
78             2639           0.171          4.921          
79             2422           0.240          4.888          
80             2025           0.364          4.854          
81             3340           0.049          4.931          
82             3403           0.068          4.917          
83             2154           0.324          4.870          
84             2642           0.170          5.378          
85             2938           0.078          4.848          
86             3825           0.201          5.043          
87             3098           0.027          4.867          
88             4305           0.352          5.139          
89             3106           0.025          4.898          
90             2069           0.350          4.926          
91             3309           0.039          4.921          
92             4011           0.259          4.913          
93             3320           0.042          4.870          
94             3483           0.094          4.815          
95             2701           0.152          4.842          
96             3205           0.006          4.911          
97             2542           0.202          4.866          
98             2102           0.340          4.932          
99             4329           0.359          4.882          
100            2486           0.219          4.911          
101            3058           0.040          4.868          
102            3170           0.005          4.844          
103            2947           0.075          4.920          
104            4281           0.344          4.927          
105            2750           0.137          4.869          
106            2960           0.071          4.859          
107            3471           0.090          4.772          
108            3569           0.121          5.003          
109            4769           0.497          4.955          
110            3723           0.169          4.861          
111            2792           0.123          4.946          
112            3521           0.105          4.883          
113            3259           0.023          4.912          
114            2240           0.297          4.840          
115            2803           0.120          4.967          
116            3419           0.073          5.050          
117            2541           0.202          4.836          
118            3624           0.138          4.887          
119            3940           0.237          4.798          
120            3459           0.086          4.959          
121            3160           0.008          4.818          
122            2797           0.122          4.867          
123            2800           0.121          4.945          
124            3835           0.204          4.883          
125            2725           0.144          4.873          
126            3756           0.179          4.928          
127            3103           0.026          4.917          
128            3962           0.244          4.935          
129            3555           0.116          4.878          
130            3429           0.077          4.907          
131            2761           0.133          4.955          
132            2839           0.109          4.806          
133            4107           0.289          4.839          
134            3146           0.012          4.871          
135            2771           0.130          4.913          
136            2755           0.135          4.845          
137            3973           0.247          4.877          
138            2169           0.319          4.852          
139            3465           0.088          5.012          
140            2522           0.208          4.847          
141            3048           0.043          4.752          
142            2462           0.227          4.945          
143            4067           0.277          4.811          
144            2672           0.161          4.929          
145            2804           0.120          5.023          
146            2873           0.098          4.866          
147            2363           0.258          4.861          
148            3679           0.155          4.864          
149            4481           0.407          4.855          
150            3417           0.073          4.943          
151            4634           0.455          4.937          
152            2944           0.076          4.981          
153            3244           0.019          4.827          
154            3437           0.079          4.958          
155            4625           0.452          4.950          
156            3819           0.199          4.947          
157            3310           0.039          4.897          
158            3628           0.139          4.899          
159            2478           0.222          5.042          
160            3426           0.076          4.904          
161            2317           0.273          4.857          
162            2728           0.143          4.888          
163            2706           0.150          4.849          
164            3043           0.045          4.764          
165            3755           0.179          4.797          
166            3210           0.008          4.918          
167            2867           0.100          4.745          
168            4206           0.321          4.921          
169            3093           0.029          4.885          
170            4287           0.346          4.910          
171            2434           0.236          4.854          
172            2362           0.258          4.804          
173            2842           0.108          4.767          
174            3119           0.021          4.758          
175            2066           0.351          5.031          
176            3208           0.007          4.906          
177            3010           0.055          4.794          
178            4381           0.376          4.936          
179            2807           0.119          4.763          
180            2646           0.169          4.855          
181            2867           0.100          2.206          
182            2444           0.233          4.818          
183            3365           0.057          4.948          
184            2919           0.084          4.695          
185            2689           0.156          4.833          
186            3075           0.035          2.452          
187            3182           0.001          4.936          
188            6172           0.938          4.820          
189            2835           0.110          4.925          
190            3658           0.149          4.960          
191            4020           0.262          4.880          
192            2947           0.075          4.924          
193            2858           0.103          4.886          
194            3163           0.007          4.883          
195            3619           0.136          4.958          
196            2784           0.126          4.800          
197            2948           0.074          4.875          
198            2328           0.269          4.798          
199            2860           0.102          4.830          
200            3800           0.193          4.890          
