i              est            relError       timeMs         
1              8532           0.051          17.697         
2              9236           0.027          21.539         
3              8651           0.038          15.702         
4              9570           0.064          10.081         
5              9055           0.007          10.199         
6              9305           0.034          15.431         
7              8813           0.020          13.253         
8              9034           0.004          12.190         
9              8626           0.041          19.178         
10             9300           0.034          13.849         
11             9159           0.018          10.076         
12             8770           0.025          14.967         
13             8902           0.010          12.969         
14             8511           0.054          18.988         
15             8682           0.035          14.990         
16             8858           0.015          13.459         
17             9237           0.027          19.349         
18             8696           0.033          10.024         
19             8786           0.023          15.915         
20             8604           0.043          21.456         
21             8880           0.013          10.152         
22             8841           0.017          9.937          
23             9157           0.018          15.991         
24             8864           0.015          21.231         
25             9423           0.048          17.051         
26             8838           0.017          20.782         
27             9483           0.054          15.132         
28             10284          0.143          13.445         
29             8928           0.007          19.935         
30             9054           0.007          14.688         
31             8655           0.038          20.799         
32             8917           0.009          14.988         
33             9068           0.008          12.702         
34             8849           0.016          12.193         
35             8821           0.019          20.047         
36             9099           0.012          22.008         
37             8851           0.016          9.919          
38             9424           0.048          16.957         
39             8546           0.050          21.549         
40             8848           0.016          22.853         
41             9106           0.012          15.810         
42             9130           0.015          20.682         
43             8460           0.059          15.044         
44             8851           0.016          13.724         
45             8720           0.031          9.965          
46             8838           0.017          10.073         
47             9201           0.023          14.579         
48             9104           0.012          13.184         
49             9120           0.014          19.547         
50             9074           0.009          14.966         
51             8718           0.031          12.588         
52             8819           0.020          10.230         
53             8952           0.005          9.851          
54             9363           0.041          14.505         
55             9026           0.003          20.311         
56             9203           0.023          15.583         
57             9057           0.007          20.674         
58             8937           0.006          22.958         
59             8958           0.004          16.168         
60             8820           0.019          10.176         
61             9097           0.011          13.682         
62             9185           0.021          18.260         
63             8691           0.034          10.027         
64             8797           0.022          9.855          
65             8619           0.042          9.798          
66             8803           0.021          9.957          
67             8878           0.013          9.825          
68             8547           0.050          9.881          
69             8697           0.033          9.850          
70             9541           0.061          9.946          
71             9241           0.027          11.316         
72             9135           0.016          9.894          
73             8904           0.010          10.054         
74             9562           0.063          11.420         
75             9074           0.009          13.086         
76             9008           0.001          12.622         
77             8782           0.024          9.705          
78             8601           0.044          21.998         
79             8654           0.038          23.600         
80             8771           0.025          23.978         
81             9203           0.023          16.116         
82             9034           0.004          10.220         
83             8874           0.013          14.534         
84             9388           0.044          12.918         
85             9007           0.001          19.660         
86             9082           0.010          14.354         
87             8834           0.018          13.628         
88             9029           0.004          19.518         
89             8928           0.007          22.422         
