i              est            relError       timeMs         
1              509090         0.026          640.736        
2              488061         0.017          646.981        
3              483843         0.025          644.708        
4              508901         0.025          644.406        
5              482203         0.028          640.414        
6              499794         0.007          652.673        
7              498445         0.004          794.700        
8              479379         0.034          641.052        
9              512297         0.032          647.803        
10             462059         0.069          645.756        
11             486668         0.019          646.381        
12             486531         0.020          648.586        
13             509518         0.027          649.342        
14             500778         0.009          642.906        
15             497165         0.002          642.781        
16             492537         0.008          644.725        
17             498484         0.004          639.838        
18             485825         0.021          644.356        
19             495494         0.002          641.333        
20             481059         0.031          643.325        
21             484793         0.023          651.311        
22             510910         0.029          645.911        
23             485176         0.022          638.737        
24             494864         0.003          644.213        
25             495795         0.001          646.673        
26             490662         0.011          646.811        
27             521035         0.050          639.718        
28             485044         0.023          651.912        
29             475897         0.041          643.763        
30             507187         0.022          643.647        
31             517410         0.042          649.501        
32             503858         0.015          647.904        
33             465379         0.062          645.906        
34             531298         0.070          639.280        
35             518806         0.045          646.271        
36             504804         0.017          646.422        
37             488792         0.015          649.998        
38             484316         0.024          645.974        
39             508850         0.025          639.179        
40             483648         0.026          646.712        
41             487417         0.018          650.669        
42             505002         0.017          645.080        
43             491847         0.009          645.189        
44             478485         0.036          649.822        
45             488854         0.015          639.444        
46             504069         0.016          643.559        
47             486159         0.020          650.977        
48             505283         0.018          642.767        
49             521692         0.051          640.655        
50             482297         0.028          644.717        
51             517279         0.042          645.883        
52             515049         0.038          640.823        
53             512848         0.033          652.817        
54             495838         0.001          642.521        
55             497422         0.002          643.478        
56             473390         0.046          646.239        
57             476729         0.039          644.371        
58             465850         0.061          650.655        
59             514392         0.036          648.927        
60             477701         0.038          714.960        
61             488872         0.015          644.241        
62             484518         0.024          646.615        
63             508065         0.024          640.897        
64             495667         0.001          644.516        
65             463517         0.066          653.308        
66             483385         0.026          651.966        
67             520348         0.048          648.020        
68             494933         0.003          639.975        
69             496287         0.000          652.005        
70             484873         0.023          655.260        
71             480246         0.032          644.910        
72             504329         0.016          638.703        
73             509997         0.028          647.117        
74             493556         0.006          644.398        
75             505627         0.019          644.318        
76             472729         0.048          659.073        
77             521803         0.051          655.942        
78             498178         0.004          649.499        
79             507302         0.022          639.461        
80             506031         0.020          652.590        
81             476877         0.039          637.196        
82             505741         0.019          638.171        
83             496820         0.001          652.401        
84             496441         0.000          644.797        
85             470957         0.051          650.981        
86             495518         0.002          643.130        
87             488747         0.015          645.171        
88             482353         0.028          636.965        
89             496264         0.000          646.995        
90             502905         0.013          645.619        
91             503913         0.015          648.710        
92             486457         0.020          639.431        
93             517582         0.043          649.284        
94             516790         0.041          644.457        
95             491386         0.010          647.297        
96             508150         0.024          645.514        
97             508540         0.025          642.828        
98             499337         0.006          647.481        
99             506028         0.020          643.444        
100            516738         0.041          646.744        
101            516967         0.042          639.163        
102            504319         0.016          647.257        
103            495646         0.001          644.233        
104            505054         0.018          674.455        
105            481632         0.030          639.358        
106            484243         0.024          646.116        
107            486384         0.020          636.129        
108            517339         0.042          655.731        
109            499972         0.007          647.718        
110            494819         0.003          638.825        
111            486561         0.020          645.351        
112            502638         0.013          636.640        
113            506100         0.020          646.763        
114            521275         0.050          647.338        
115            498047         0.003          646.622        
116            501009         0.009          636.696        
117            487391         0.018          642.178        
118            497222         0.002          642.501        
119            482520         0.028          645.153        
120            492179         0.008          637.410        
121            508692         0.025          647.663        
122            519752         0.047          640.275        
123            514060         0.036          644.938        
124            497501         0.002          641.842        
125            485796         0.021          645.697        
126            471536         0.050          644.595        
127            501368         0.010          642.590        
128            488008         0.017          645.092        
129            471535         0.050          643.310        
130            519506         0.047          639.813        
131            482954         0.027          646.628        
132            522774         0.053          636.931        
133            489577         0.014          646.098        
134            516699         0.041          648.207        
135            517346         0.042          646.235        
136            498260         0.004          646.165        
137            516040         0.040          641.260        
138            483753         0.025          646.696        
139            477953         0.037          644.207        
140            485383         0.022          644.683        
141            494518         0.004          642.848        
142            477532         0.038          645.262        
143            505425         0.018          646.650        
144            500111         0.008          639.490        
145            510103         0.028          644.394        
146            490993         0.011          643.435        
147            512851         0.033          642.140        
148            492971         0.007          645.631        
149            478211         0.036          638.960        
150            496459         0.000          651.227        
151            510825         0.029          644.983        
152            531254         0.070          643.613        
153            477489         0.038          647.806        
154            490384         0.012          649.407        
155            486946         0.019          644.599        
156            501465         0.010          641.092        
157            511003         0.030          645.295        
158            515335         0.038          639.634        
159            511371         0.030          645.401        
160            505637         0.019          646.231        
161            473350         0.046          642.201        
162            475100         0.043          649.856        
163            498496         0.004          643.480        
164            498277         0.004          650.122        
165            528004         0.064          643.939        
166            492152         0.008          645.723        
167            509861         0.027          655.533        
168            497689         0.003          641.759        
169            506497         0.021          645.223        
170            484060         0.025          641.172        
171            469498         0.054          645.150        
172            509643         0.027          645.214        
173            473331         0.046          642.549        
174            514078         0.036          644.280        
175            495614         0.001          645.070        
176            516467         0.041          667.381        
177            485513         0.022          643.092        
178            490567         0.012          652.587        
179            501465         0.010          642.058        
180            470617         0.052          654.091        
181            509491         0.027          642.412        
182            495978         0.001          644.946        
183            501630         0.011          640.527        
184            500377         0.008          646.457        
185            495256         0.002          647.581        
186            516525         0.041          647.076        
187            480745         0.031          648.130        
188            492961         0.007          645.683        
189            477460         0.038          640.012        
190            490708         0.011          647.646        
191            494187         0.004          646.808        
192            504208         0.016          645.699        
193            541551         0.091          640.176        
194            493016         0.007          645.726        
195            480524         0.032          645.273        
196            502196         0.012          639.924        
197            493698         0.005          645.725        
198            486433         0.020          640.263        
199            535337         0.079          660.950        
200            508271         0.024          642.699        
