i              est            relError       timeMs         
1              6124           0.031          14.428         
2              6180           0.022          19.997         
3              6199           0.019          14.967         
4              6278           0.006          12.926         
5              6019           0.047          20.049         
6              6331           0.002          8.095          
7              6488           0.027          17.240         
8              6075           0.039          13.298         
9              6146           0.027          10.845         
10             6203           0.018          13.584         
11             6374           0.009          12.304         
12             6502           0.029          12.301         
13             6293           0.004          8.173          
14             5932           0.061          8.091          
15             6091           0.036          16.873         
16             6371           0.008          13.260         
17             6084           0.037          20.477         
18             6135           0.029          12.689         
19             6088           0.037          13.324         
20             6378           0.009          13.250         
21             6515           0.031          12.664         
22             6145           0.028          19.499         
23             6940           0.098          15.007         
24             6391           0.011          12.730         
25             6405           0.014          10.807         
26             6534           0.034          13.016         
27             6200           0.019          12.124         
28             6438           0.019          8.120          
29             6150           0.027          14.736         
30             6242           0.012          17.705         
31             6230           0.014          7.996          
32             6261           0.009          10.809         
33             6303           0.003          10.696         
34             6002           0.050          10.109         
35             6112           0.033          12.133         
36             6022           0.047          12.286         
37             6467           0.023          13.732         
38             6691           0.059          12.326         
39             6623           0.048          19.187         
40             6618           0.047          15.105         
41             6695           0.060          8.256          
42             6337           0.003          9.718          
43             6467           0.023          11.681         
44             6474           0.025          8.766          
45             6453           0.021          14.852         
46             6218           0.016          9.470          
47             5955           0.058          8.752          
48             5999           0.051          8.027          
49             6474           0.025          8.107          
50             6307           0.002          7.814          
51             6403           0.013          8.035          
52             6016           0.048          14.833         
53             6163           0.025          8.307          
54             6280           0.006          15.647         
55             6305           0.002          8.135          
56             6435           0.018          14.955         
57             6024           0.047          7.967          
58             6097           0.035          7.850          
59             6303           0.003          8.220          
60             6686           0.058          8.265          
61             6274           0.007          15.669         
62             6481           0.026          8.227          
63             6545           0.036          15.922         
64             6187           0.021          19.555         
65             6172           0.023          16.109         
66             6250           0.011          12.859         
67             6300           0.003          7.959          
68             6622           0.048          8.097          
69             6289           0.005          17.338         
70             6447           0.020          14.250         
71             6476           0.025          12.244         
72             6462           0.023          10.633         
73             6199           0.019          13.324         
74             6384           0.010          8.196          
75             6322           0.000          8.043          
76             6249           0.011          7.984          
77             6055           0.042          7.861          
78             6155           0.026          7.912          
79             6659           0.054          8.141          
80             6517           0.031          8.140          
81             6207           0.018          8.016          
82             6397           0.012          7.902          
83             6500           0.029          7.955          
84             6331           0.002          7.990          
85             6308           0.002          10.138         
86             6342           0.004          10.757         
87             6144           0.028          18.196         
88             6316           0.000          8.108          
89             6391           0.011          8.159          
90             6504           0.029          11.103         
91             6493           0.028          12.134         
92             6372           0.008          19.183         
93             6177           0.022          14.958         
94             6243           0.012          12.934         
95             6018           0.048          12.308         
96             6370           0.008          12.082         
97             6314           0.001          18.965         
98             6140           0.028          14.373         
99             6624           0.048          13.594         
100            6448           0.020          8.031          
101            6473           0.024          14.667         
102            6368           0.008          8.200          
103            6165           0.024          15.589         
104            6261           0.009          8.313          
105            6343           0.004          15.363         
106            6517           0.031          8.203          
107            6223           0.015          15.462         
108            5969           0.055          7.964          
109            6317           0.000          15.282         
110            6176           0.023          8.129          
111            6336           0.003          15.604         
112            6657           0.053          8.072          
113            6131           0.030          8.040          
114            6391           0.011          8.236          
115            6222           0.015          8.990          
116            6169           0.024          8.040          
117            6425           0.017          8.042          
118            6413           0.015          8.076          
119            6151           0.027          8.024          
120            6239           0.013          8.042          
121            6292           0.004          7.922          
122            6562           0.038          7.983          
123            6219           0.016          8.171          
124            6297           0.003          8.230          
125            6120           0.031          8.748          
126            6431           0.018          8.081          
127            6371           0.008          7.996          
128            6301           0.003          10.438         
129            6334           0.002          8.203          
130            6044           0.044          8.956          
131            6190           0.020          9.834          
132            6485           0.026          19.639         
133            6058           0.041          8.006          
134            6634           0.050          8.089          
135            6519           0.032          9.764          
136            6475           0.025          11.936         
137            6063           0.041          20.324         
138            6550           0.037          15.967         
139            6358           0.006          12.790         
140            6940           0.098          20.263         
141            6563           0.039          14.635         
