i              est            relError       timeMs         
73             9251           0.028          12.289         
74             9701           0.019          10.270         
75             9572           0.006          10.519         
76             9768           0.026          10.025         
77             9215           0.032          9.997          
78             9302           0.023          9.973          
79             9488           0.003          10.124         
80             9631           0.012          10.264         
81             9331           0.020          11.043         
82             9654           0.014          23.635         
83             9562           0.005          15.532         
84             9138           0.040          13.683         
85             8700           0.086          20.477         
86             9359           0.017          14.466         
87             8786           0.077          10.150         
88             9548           0.003          10.255         
89             9478           0.004          15.546         
90             9743           0.024          13.319         
91             9486           0.003          19.830         
92             9486           0.003          22.290         
93             9186           0.035          15.968         
94             9803           0.030          10.836         
95             9950           0.045          10.280         
96             9154           0.038          12.032         
97             9340           0.019          12.615         
98             9331           0.020          13.860         
99             9719           0.021          10.536         
100            9944           0.045          21.080         
101            9334           0.019          10.496         
102            9524           0.001          15.607         
103            9599           0.009          13.586         
104            9945           0.045          14.098         
105            9294           0.023          11.397         
106            9555           0.004          18.944         
107            9451           0.007          10.429         
108            9602           0.009          23.803         
109            9352           0.017          15.356         
110            10049          0.056          13.770         
111            9241           0.029          10.406         
112            9613           0.010          21.336         
113            9890           0.039          10.457         
114            9535           0.002          15.030         
115            9829           0.033          10.476         
116            9242           0.029          14.743         
117            9426           0.010          18.232         
118            9138           0.040          10.331         
119            9544           0.003          17.704         
120            9590           0.008          10.545         
121            9499           0.002          14.733         
122            9283           0.025          19.278         
123            9339           0.019          15.332         
124            9707           0.020          13.765         
125            9633           0.012          10.388         
126            9554           0.004          12.323         
127            9524           0.001          10.274         
128            9978           0.048          10.389         
129            9530           0.001          10.493         
130            9009           0.053          10.404         
131            9331           0.020          10.305         
132            9820           0.032          10.323         
133            9341           0.018          10.345         
134            9315           0.021          14.678         
135            8994           0.055          10.806         
136            9168           0.037          10.369         
137            9634           0.012          17.562         
138            9474           0.005          14.430         
139            9272           0.026          10.274         
140            10208          0.073          23.261         
141            9213           0.032          15.422         
142            9953           0.046          14.166         
143            9715           0.021          12.660         
144            9635           0.012          10.376         
145            9286           0.024          13.284         
146            9790           0.029          20.135         
147            9539           0.002          21.951         
148            9363           0.016          10.433         
149            9464           0.006          16.531         
150            9695           0.019          10.337         
151            9567           0.005          14.270         
152            9946           0.045          21.505         
153            9710           0.020          14.965         
154            9588           0.007          13.059         
155            9660           0.015          10.330         
156            9215           0.032          10.435         
157            9955           0.046          14.088         
158            8782           0.077          20.507         
159            9073           0.047          22.309         
160            10076          0.059          15.847         
161            9643           0.013          10.439         
162            9623           0.011          10.376         
163            9678           0.017          15.097         
164            9873           0.037          20.948         
165            9733           0.023          14.575         
166            9467           0.005          10.332         
167            9227           0.030          10.366         
168            9254           0.028          15.212         
169            9038           0.050          20.536         
170            9489           0.003          10.560         
171            9323           0.020          10.522         
172            9440           0.008          16.488         
173            9651           0.014          13.946         
174            9243           0.029          20.187         
175            9730           0.022          22.416         
176            9287           0.024          23.492         
177            9162           0.037          16.281         
178            9406           0.012          12.888         
179            9414           0.011          20.535         
180            9796           0.029          14.591         
181            9613           0.010          13.435         
182            9312           0.022          19.683         
183            9332           0.019          14.890         
184            9367           0.016          20.339         
185            9633           0.012          10.399         
186            9327           0.020          16.147         
187            9809           0.031          20.991         
188            10142          0.066          15.353         
189            9529           0.001          13.373         
190            9548           0.003          11.809         
191            9488           0.003          18.042         
192            9303           0.022          10.324         
193            9560           0.005          10.316         
194            9367           0.016          17.663         
195            9437           0.008          21.845         
196            9331           0.020          23.025         
197            9995           0.050          10.469         
198            9948           0.045          24.712         
199            9140           0.040          16.208         
200            9641           0.013          13.133         
