i              est            relError       timeMs         
1              10060          0.057          10.455         
2              9663           0.015          10.207         
3              9158           0.038          11.379         
4              9510           0.001          13.249         
5              9416           0.011          11.762         
6              9421           0.010          10.577         
7              9200           0.033          10.544         
8              9674           0.016          10.405         
9              9395           0.013          10.248         
10             9279           0.025          10.273         
11             9079           0.046          10.356         
12             9093           0.045          10.351         
13             9214           0.032          10.263         
14             9610           0.010          10.375         
15             9690           0.018          10.384         
16             9742           0.024          10.466         
17             9279           0.025          10.307         
18             9512           0.001          10.536         
19             10067          0.058          25.728         
20             9366           0.016          23.814         
21             8762           0.079          23.714         
22             9649           0.014          23.794         
23             9752           0.025          23.676         
24             9544           0.003          16.293         
25             9326           0.020          10.387         
26             9615           0.010          22.161         
27             9463           0.006          10.500         
28             9525           0.001          16.621         
29             9005           0.054          13.158         
30             9423           0.010          19.239         
31             9505           0.001          15.404         
32             8860           0.069          13.284         
33             9929           0.043          10.377         
34             9556           0.004          20.986         
35             9296           0.023          10.639         
36             9503           0.001          23.600         
37             9347           0.018          16.124         
38             9513           0.000          20.729         
39             9948           0.045          15.692         
40             9985           0.049          12.886         
41             9343           0.018          10.414         
42             9265           0.026          20.447         
43             9532           0.002          15.566         
44             9803           0.030          20.457         
45             9766           0.026          15.371         
46             9446           0.007          12.711         
47             9666           0.016          10.330         
48             9723           0.022          10.405         
49             9645           0.013          22.142         
50             8937           0.061          15.568         
51             9663           0.015          10.429         
52             9367           0.016          10.314         
53             9257           0.027          22.712         
54             9872           0.037          12.665         
55             9669           0.016          23.146         
56             9061           0.048          10.368         
57             9948           0.045          16.655         
58             9939           0.044          21.234         
59             9311           0.022          15.516         
60             8969           0.058          13.150         
61             9454           0.007          19.887         
62             8785           0.077          14.863         
63             9330           0.020          13.006         
64             9599           0.009          19.463         
65             9771           0.027          10.624         
66             9337           0.019          10.217         
67             9177           0.036          10.188         
68             10146          0.066          10.234         
69             9634           0.012          10.280         
70             9777           0.027          10.398         
71             9685           0.018          10.344         
72             9776           0.027          10.338         
