i              est            relError       timeMs         
1              5678           0.014          2.632          
2              5654           0.018          2.736          
3              5956           0.034          2.788          
4              5727           0.006          2.588          
5              5593           0.029          2.563          
6              5917           0.027          2.655          
7              5730           0.005          2.586          
8              5491           0.047          3.455          
9              5795           0.006          2.752          
10             5530           0.040          2.594          
11             5638           0.021          2.672          
12             5970           0.036          3.830          
13             5850           0.016          2.773          
14             5509           0.044          3.055          
15             5608           0.026          4.931          
16             5705           0.010          4.135          
17             5832           0.013          2.961          
18             5754           0.001          2.818          
19             5927           0.029          2.954          
20             5721           0.007          5.098          
21             5604           0.027          2.502          
22             5913           0.027          2.638          
23             5580           0.031          3.689          
24             5664           0.017          2.781          
25             6076           0.055          6.393          
26             5614           0.025          6.089          
27             5428           0.058          6.424          
28             5477           0.049          6.402          
29             5957           0.034          6.379          
30             5827           0.012          6.438          
31             5923           0.028          6.414          
32             5685           0.013          6.581          
33             5876           0.020          6.367          
34             6003           0.042          6.343          
35             5701           0.010          6.404          
36             5638           0.021          6.404          
37             5574           0.032          6.631          
38             5845           0.015          6.448          
39             5767           0.001          6.313          
40             5509           0.044          6.435          
41             5846           0.015          6.569          
42             5934           0.030          6.495          
43             5692           0.012          6.531          
44             5941           0.031          6.428          
45             5954           0.034          6.390          
46             5881           0.021          6.526          
47             6012           0.044          6.536          
48             5812           0.009          6.414          
49             5896           0.024          6.585          
50             5635           0.022          6.503          
51             5845           0.015          6.360          
52             5866           0.018          6.475          
53             5533           0.039          6.409          
54             5585           0.030          6.463          
55             5854           0.016          6.462          
56             5522           0.041          6.443          
57             5429           0.057          6.336          
58             5467           0.051          6.435          
59             5477           0.049          6.354          
60             5733           0.005          6.424          
61             5924           0.028          6.469          
62             5524           0.041          6.360          
63             5777           0.003          6.389          
64             5721           0.007          6.420          
65             5908           0.026          6.368          
66             5731           0.005          6.406          
67             5640           0.021          6.514          
68             5803           0.007          6.361          
69             5832           0.013          6.483          
70             5596           0.028          6.387          
71             6014           0.044          6.387          
72             5778           0.003          6.435          
73             5562           0.034          6.357          
74             5773           0.002          6.401          
75             5541           0.038          6.327          
76             5657           0.018          6.419          
77             5955           0.034          6.560          
78             5690           0.012          6.413          
79             5719           0.007          6.447          
80             5952           0.033          6.495          
81             5656           0.018          6.524          
82             5736           0.004          6.523          
83             5742           0.003          6.471          
84             5857           0.017          6.440          
85             5561           0.035          6.392          
86             5677           0.014          6.337          
87             5675           0.015          6.489          
88             5863           0.018          6.409          
89             5608           0.026          6.528          
90             5798           0.007          6.578          
91             5654           0.018          6.403          
92             5897           0.024          6.564          
93             5832           0.013          6.393          
94             5810           0.009          6.387          
95             5985           0.039          6.486          
96             5766           0.001          6.422          
97             5541           0.038          6.403          
98             5913           0.027          6.373          
99             5598           0.028          6.434          
100            5386           0.065          6.398          
101            5620           0.024          6.443          
102            5786           0.005          6.401          
103            5789           0.005          6.410          
104            5672           0.015          6.410          
105            5691           0.012          6.496          
106            5776           0.003          6.501          
107            5619           0.024          6.444          
108            5833           0.013          5.582          
109            5800           0.007          6.483          
110            5536           0.039          6.271          
111            5805           0.008          6.583          
112            5697           0.011          6.404          
113            5863           0.018          6.575          
114            5863           0.018          6.513          
115            5604           0.027          6.464          
116            5644           0.020          6.484          
117            5877           0.020          6.367          
118            5653           0.019          6.319          
119            5816           0.010          6.484          
120            5576           0.032          6.474          
121            5580           0.031          6.394          
122            5460           0.052          6.315          
123            5560           0.035          6.551          
124            5803           0.007          6.399          
125            5767           0.001          6.533          
126            5829           0.012          6.437          
127            5613           0.026          6.488          
